시점,죄종별(1),재산피해정도별(1),재산피해정도별(2),데이터
2018,사기,계,합계,270029
2018,사기,피해무,합계,2435
2018,사기,피해정도,1만원이하,4256
2018,사기,피해정도,10만원이하,30227
2018,사기,피해정도,100만원이하,74321
2018,사기,피해정도,1000만원이하,66481
2018,사기,피해정도,1억원이하,54400
2018,사기,피해정도,10억원이하,16245
2018,사기,피해정도,10억원초과,1565
2018,사기,미상,합계,20099
2018,횡령,계,합계,55113
2018,횡령,피해무,합계,1458
2018,횡령,피해정도,1만원이하,4855
2018,횡령,피해정도,10만원이하,9033
2018,횡령,피해정도,100만원이하,19853
2018,횡령,피해정도,1000만원이하,7421
2018,횡령,피해정도,1억원이하,5872
2018,횡령,피해정도,10억원이하,2730
2018,횡령,피해정도,10억원초과,475
2018,횡령,미상,합계,3416
2019,사기,계,합계,304472
2019,사기,피해무,합계,817
2019,사기,피해정도,1만원이하,2052
2019,사기,피해정도,10만원이하,28669
2019,사기,피해정도,100만원이하,72497
2019,사기,피해정도,1000만원이하,51132
2019,사기,피해정도,1억원이하,39132
2019,사기,피해정도,10억원이하,9252
2019,사기,피해정도,10억원초과,804
2019,사기,미상,합계,100117
2019,횡령,계,합계,58508
2019,횡령,피해무,합계,840
2019,횡령,피해정도,1만원이하,3287
2019,횡령,피해정도,10만원이하,7492
2019,횡령,피해정도,100만원이하,16456
2019,횡령,피해정도,1000만원이하,5795
2019,횡령,피해정도,1억원이하,3077
2019,횡령,피해정도,10억원이하,1393
2019,횡령,피해정도,10억원초과,191
2019,횡령,미상,합계,19977
2020,사기,계,합계,347675
2020,사기,피해무,합계,1144
2020,사기,피해정도,1만원이하,2337
2020,사기,피해정도,10만원이하,33377
2020,사기,피해정도,100만원이하,97467
2020,사기,피해정도,1000만원이하,54676
2020,사기,피해정도,1억원이하,50496
2020,사기,피해정도,10억원이하,11294
2020,사기,피해정도,10억원초과,1036
2020,사기,미상,합계,95848
2020,횡령,계,합계,58889
2020,횡령,피해무,합계,993
2020,횡령,피해정도,1만원이하,3835
2020,횡령,피해정도,10만원이하,8043
2020,횡령,피해정도,100만원이하,16030
2020,횡령,피해정도,1000만원이하,6543
2020,횡령,피해정도,1억원이하,3366
2020,횡령,피해정도,10억원이하,1449
2020,횡령,피해정도,10억원초과,250
2020,횡령,미상,합계,18380
