범죄종류,대분류,중분류,질문답변,비율
몰카,학령별,중학교,문제가 된다,10.2
몰카,학령별,중학교,매우 문제가 된다,86.6
몰카,학령별,고등학교,전혀 문제가 되지 않는다,0.8
몰카,학령별,고등학교,문제가 되지 않는다,3.4
몰카,학령별,고등학교,문제가 된다,12.1
몰카,학령별,고등학교,매우 문제가 된다,83.8
몰카,권역별,수도권,전혀 문제가 되지 않는다,0.7
몰카,권역별,수도권,문제가 되지 않는다,3.2
몰카,권역별,수도권,문제가 된다,11.9
몰카,권역별,수도권,매우 문제가 된다,84.2
몰카,권역별,충청권,전혀 문제가 되지 않는다,0.6
몰카,권역별,충청권,문제가 되지 않는다,2.6
몰카,권역별,충청권,문제가 된다,11.3
몰카,권역별,충청권,매우 문제가 된다,85.6
몰카,권역별,호남권,전혀 문제가 되지 않는다,1.8
몰카,권역별,호남권,문제가 되지 않는다,2.1
몰카,권역별,호남권,문제가 된다,8.7
몰카,권역별,호남권,매우 문제가 된다,87.5
몰카,권역별,동북권,전혀 문제가 되지 않는다,1.5
몰카,권역별,동북권,문제가 되지 않는다,2.3
몰카,권역별,동북권,문제가 된다,11.8
몰카,권역별,동북권,매우 문제가 된다,84.5
몰카,권역별,동남권,전혀 문제가 되지 않는다,1.3
몰카,권역별,동남권,문제가 되지 않는다,3.1
몰카,권역별,동남권,문제가 된다,9.5
몰카,권역별,동남권,매우 문제가 된다,86.1
몰카,인터넷 이용 시간별,1시간 미만,전혀 문제가 되지 않는다,2
몰카,인터넷 이용 시간별,1시간 미만,문제가 되지 않는다,3.6
몰카,인터넷 이용 시간별,1시간 미만,문제가 된다,8.6
몰카,인터넷 이용 시간별,1시간 미만,매우 문제가 된다,85.8
몰카,인터넷 이용 시간별,1~2시간 미만,전혀 문제가 되지 않는다,1.2
몰카,인터넷 이용 시간별,1~2시간 미만,문제가 되지 않는다,3.7
몰카,인터넷 이용 시간별,1~2시간 미만,문제가 된다,13.6
몰카,인터넷 이용 시간별,1~2시간 미만,매우 문제가 된다,81.5
몰카,인터넷 이용 시간별,2~3시간 미만,전혀 문제가 되지 않는다,0.8
몰카,인터넷 이용 시간별,2~3시간 미만,문제가 되지 않는다,3.1
몰카,인터넷 이용 시간별,2~3시간 미만,문제가 된다,10.3
몰카,인터넷 이용 시간별,2~3시간 미만,매우 문제가 된다,85.8
몰카,인터넷 이용 시간별,3~4시간 미만,전혀 문제가 되지 않는다,1
몰카,인터넷 이용 시간별,3~4시간 미만,문제가 되지 않는다,2.2
몰카,인터넷 이용 시간별,3~4시간 미만,문제가 된다,12.8
몰카,인터넷 이용 시간별,3~4시간 미만,매우 문제가 된다,84
몰카,인터넷 이용 시간별,4시간 이상,전혀 문제가 되지 않는다,0.8
몰카,인터넷 이용 시간별,4시간 이상,문제가 되지 않는다,1.8
몰카,인터넷 이용 시간별,4시간 이상,문제가 된다,9.1
몰카,인터넷 이용 시간별,4시간 이상,매우 문제가 된다,88.3
몰카,가정형편별,상위,전혀 문제가 되지 않는다,1
몰카,가정형편별,상위,문제가 되지 않는다,2.4
몰카,가정형편별,상위,문제가 된다,11.2
몰카,가정형편별,상위,매우 문제가 된다,85.3
몰카,가정형편별,중위,전혀 문제가 되지 않는다,0.9
몰카,가정형편별,중위,문제가 되지 않는다,3.2
몰카,가정형편별,중위,문제가 된다,10.8
몰카,가정형편별,중위,매우 문제가 된다,85.1
몰카,가정형편별,하위,전혀 문제가 되지 않는다,1.5
몰카,가정형편별,하위,문제가 되지 않는다,2.5
몰카,가정형편별,하위,문제가 된다,12.5
몰카,가정형편별,하위,매우 문제가 된다,83.6
몸캠,성별,남학생,전혀 문제가 되지 않는다,1.2
몸캠,성별,남학생,문제가 되지 않는다,2.7
몸캠,성별,남학생,문제가 된다,11.6
몸캠,성별,남학생,매우 문제가 된다,84.5
몸캠,성별,여학생,전혀 문제가 되지 않는다,1
몸캠,성별,여학생,문제가 되지 않는다,3.3
몸캠,성별,여학생,문제가 된다,9.5
몸캠,성별,여학생,매우 문제가 된다,86.2
몸캠,학령별,초등학교,전혀 문제가 되지 않는다,1.8
몸캠,학령별,초등학교,문제가 되지 않는다,2.7
몸캠,학령별,초등학교,문제가 된다,9.8
